# Capture: Nordverk relay controller, channel 3
# Unit calibration: shortest ON pulse is one time unit
start_ms,duration_ms,state
0,360,ON
360,120,OFF
480,120,ON
600,120,OFF
720,360,ON
1080,120,OFF
1200,120,ON
1320,360,OFF
1680,360,ON
2040,360,OFF
2400,120,ON
2520,120,OFF
2640,120,ON
2760,120,OFF
2880,360,ON
3240,120,OFF
3360,120,ON
3480,360,OFF
3840,360,ON
4200,120,OFF
4320,120,ON
4440,120,OFF
4560,360,ON
4920,120,OFF
5040,360,ON
5400,120,OFF
5520,120,ON
5640,360,OFF
6000,360,ON
6360,120,OFF
6480,360,ON
6840,360,OFF
7200,360,ON
7560,120,OFF
7680,360,ON
8040,120,OFF
8160,360,ON
8520,360,OFF
8880,120,ON
9000,120,OFF
9120,360,ON
9480,120,OFF
9600,120,ON
9720,360,OFF
10080,120,ON
10200,120,OFF
10320,120,ON
10440,120,OFF
10560,120,ON
10680,360,OFF
11040,120,ON
11160,360,OFF
11520,120,ON
11640,120,OFF
11760,120,ON
11880,120,OFF
12000,360,ON
12360,120,OFF
12480,360,ON
12840,120,OFF
12960,120,ON
13080,120,OFF
13200,360,ON
13560,360,OFF
13920,120,ON
14040,120,OFF
14160,360,ON
14520,120,OFF
14640,360,ON
15000,120,OFF
15120,120,ON
15240,360,OFF
15600,120,ON
15720,120,OFF
15840,360,ON
16200,360,OFF
16560,120,ON
16680,120,OFF
16800,120,ON
16920,120,OFF
17040,360,ON
17400,120,OFF
17520,360,ON
17880,120,OFF
18000,120,ON
18120,120,OFF
18240,360,ON
18600,360,OFF
18960,120,ON
19080,120,OFF
19200,360,ON
19560,120,OFF
19680,120,ON
19800,360,OFF
20160,120,ON
20280,360,OFF
20640,120,ON
20760,120,OFF
20880,360,ON
21240,120,OFF
21360,120,ON
21480,120,OFF
21600,120,ON
21720,360,OFF
22080,120,ON
22200,360,OFF
22560,120,ON
22680,360,OFF
23040,360,ON
23400,360,OFF
23760,120,ON
23880,120,OFF
24000,120,ON
24120,120,OFF
24240,360,ON
24600,120,OFF
24720,360,ON
25080,120,OFF
25200,120,ON
25320,120,OFF
25440,360,ON
25800,360,OFF
26160,120,ON
26280,360,OFF
26640,120,ON
26760,120,OFF
26880,360,ON
27240,120,OFF
27360,120,ON
27480,360,OFF
27840,120,ON
27960,120,OFF
28080,120,ON
28200,120,OFF
28320,360,ON
28680,120,OFF
28800,360,ON
29160,120,OFF
29280,120,ON
29400,120,OFF
29520,360,ON
29880,360,OFF
30240,360,ON
30600,120,OFF
30720,120,ON
30840,120,OFF
30960,360,ON
31320,360,OFF
31680,120,ON
31800,120,OFF
31920,360,ON
32280,120,OFF
32400,120,ON
32520,120,OFF
32640,120,ON
32760,360,OFF
33120,120,ON
33240,120,OFF
33360,360,ON
33720,360,OFF
34080,120,ON
34200,120,OFF
34320,120,ON
34440,120,OFF
34560,120,ON
34680,360,OFF
35040,120,ON
35160,120,OFF
35280,120,ON
35400,120,OFF
35520,120,ON
35640,360,OFF
36000,120,ON
36120,120,OFF
36240,120,ON
36360,360,OFF
36720,360,ON
37080,120,OFF
37200,120,ON
37320,120,OFF
37440,360,ON
37800,360,OFF
38160,120,ON
38280,360,OFF
38640,120,ON
38760,120,OFF
38880,360,ON
39240,120,OFF
39360,120,ON
39480,360,OFF
39840,360,ON
40200,120,OFF
40320,120,ON
40440,120,OFF
40560,360,ON
40920,120,OFF
41040,360,ON
41400,120,OFF
41520,120,ON
41640,120,OFF
41760,360,ON
42120,360,OFF
